choices,feedback,role,agent_self_type,agent_other_type,trial,game_id,combination,values
0,1,hider,WSLS,WSLS,102,2,WSLS_WSLS,NA
1,0,hider,WSLS,WSLS,103,2,WSLS_WSLS,NA
1,1,hider,WSLS,WSLS,104,2,WSLS_WSLS,NA
0,0,hider,WSLS,WSLS,105,2,WSLS_WSLS,NA
0,1,hider,WSLS,WSLS,106,2,WSLS_WSLS,NA
1,0,hider,WSLS,WSLS,107,2,WSLS_WSLS,NA
1,1,hider,WSLS,WSLS,108,2,WSLS_WSLS,NA
0,0,hider,WSLS,WSLS,109,2,WSLS_WSLS,NA
0,1,hider,WSLS,WSLS,110,2,WSLS_WSLS,NA
1,0,hider,WSLS,WSLS,111,2,WSLS_WSLS,NA
1,1,hider,WSLS,WSLS,112,2,WSLS_WSLS,NA
0,0,hider,WSLS,WSLS,113,2,WSLS_WSLS,NA
0,1,hider,WSLS,WSLS,114,2,WSLS_WSLS,NA
1,0,hider,WSLS,WSLS,115,2,WSLS_WSLS,NA
1,1,hider,WSLS,WSLS,116,2,WSLS_WSLS,NA
0,0,hider,WSLS,WSLS,117,2,WSLS_WSLS,NA
0,1,hider,WSLS,WSLS,118,2,WSLS_WSLS,NA
1,0,hider,WSLS,WSLS,119,2,WSLS_WSLS,NA
1,1,hider,WSLS,WSLS,120,2,WSLS_WSLS,NA
0,1,picker,WSLS,WSLS,1,2,WSLS_WSLS,NA
1,0,picker,WSLS,WSLS,2,2,WSLS_WSLS,NA
1,1,picker,WSLS,WSLS,3,2,WSLS_WSLS,NA
0,0,picker,WSLS,WSLS,4,2,WSLS_WSLS,NA
0,1,picker,WSLS,WSLS,5,2,WSLS_WSLS,NA
1,0,picker,WSLS,WSLS,6,2,WSLS_WSLS,NA
1,1,picker,WSLS,WSLS,7,2,WSLS_WSLS,NA
0,0,picker,WSLS,WSLS,8,2,WSLS_WSLS,NA
0,1,picker,WSLS,WSLS,9,2,WSLS_WSLS,NA
1,0,picker,WSLS,WSLS,10,2,WSLS_WSLS,NA
1,1,picker,WSLS,WSLS,11,2,WSLS_WSLS,NA
0,0,picker,WSLS,WSLS,12,2,WSLS_WSLS,NA
0,1,picker,WSLS,WSLS,13,2,WSLS_WSLS,NA
1,0,picker,WSLS,WSLS,14,2,WSLS_WSLS,NA
1,1,picker,WSLS,WSLS,15,2,WSLS_WSLS,NA
0,0,picker,WSLS,WSLS,16,2,WSLS_WSLS,NA
0,1,picker,WSLS,WSLS,17,2,WSLS_WSLS,NA
1,0,picker,WSLS,WSLS,18,2,WSLS_WSLS,NA
1,1,picker,WSLS,WSLS,19,2,WSLS_WSLS,NA
0,0,picker,WSLS,WSLS,20,2,WSLS_WSLS,NA
0,1,picker,WSLS,WSLS,21,2,WSLS_WSLS,NA
1,0,picker,WSLS,WSLS,22,2,WSLS_WSLS,NA
1,1,picker,WSLS,WSLS,23,2,WSLS_WSLS,NA
0,0,picker,WSLS,WSLS,24,2,WSLS_WSLS,NA
0,1,picker,WSLS,WSLS,25,2,WSLS_WSLS,NA
1,0,picker,WSLS,WSLS,26,2,WSLS_WSLS,NA
1,1,picker,WSLS,WSLS,27,2,WSLS_WSLS,NA
0,0,picker,WSLS,WSLS,28,2,WSLS_WSLS,NA
0,1,picker,WSLS,WSLS,29,2,WSLS_WSLS,NA
1,0,picker,WSLS,WSLS,30,2,WSLS_WSLS,NA
1,1,picker,WSLS,WSLS,31,2,WSLS_WSLS,NA
0,0,picker,WSLS,WSLS,32,2,WSLS_WSLS,NA
0,1,picker,WSLS,WSLS,33,2,WSLS_WSLS,NA
1,0,picker,WSLS,WSLS,34,2,WSLS_WSLS,NA
1,1,picker,WSLS,WSLS,35,2,WSLS_WSLS,NA
0,0,picker,WSLS,WSLS,36,2,WSLS_WSLS,NA
0,1,picker,WSLS,WSLS,37,2,WSLS_WSLS,NA
1,0,picker,WSLS,WSLS,38,2,WSLS_WSLS,NA
1,1,picker,WSLS,WSLS,39,2,WSLS_WSLS,NA
0,0,picker,WSLS,WSLS,40,2,WSLS_WSLS,NA
0,1,picker,WSLS,WSLS,41,2,WSLS_WSLS,NA
1,0,picker,WSLS,WSLS,42,2,WSLS_WSLS,NA
1,1,picker,WSLS,WSLS,43,2,WSLS_WSLS,NA
0,0,picker,WSLS,WSLS,44,2,WSLS_WSLS,NA
0,1,picker,WSLS,WSLS,45,2,WSLS_WSLS,NA
